field_1,Antenas,Nombres,Lat,Long,CentroLat,CentroLong,MINVU,Area
13992,CURI2,CURI2U3,-35.021144999999997,-71.248334000000000,-35.022657179699998,-71.249006086300000,curico,14655969.78
17322,CONE2,CONE2L0,-32.921689000000001,-71.505402000000004,-32.921689000000001,-71.505402000000004,gran valparaiso,4177064.32
3208,COPES,COPESU9,-33.468876000000002,-70.625495999999998,-33.469033184700002,-70.626564635799994,gran santiago,298348.07
980,BOSQU,BOSQUU3,-32.937638999999997,-71.522417000000004,-32.937714681499997,-71.522928415099997,gran valparaiso,4835515.72
3172,SOSAN,SOSANU2,-33.424166000000000,-70.614918000000003,-33.425007986200001,-70.614335545399996,gran santiago,64959.44
5686,MBLSD,MBLSDU3,-23.424944440000001,-70.060805560000006,-23.425014299899999,-70.061237341999998,,422717455.02
574,ACDCF,ACDCFW3,-41.864967499999999,-73.808176599999996,-41.864263462799997,-73.809814014400004,ancud,79788237.98
19994,AVURU,AVURUU1,-34.167805999999999,-70.711222000000006,-34.167034911599998,-70.711222000000006,gran rancagua,888640.38
481,QLCG1,QLCG1U9,-33.369301000000000,-70.724197000000004,-33.369713791300001,-70.725555019599994,gran santiago,783728.85
1591,MACHA,MACHAU3,-34.180889999999998,-70.642309999999995,-34.180500141600000,-70.643604770600007,gran rancagua,6203066.60
0,TCAPS,TCAPS,-35.451324000000000,-71.662895000000006,-35.451324000000000,-71.662895000000006,talca,4743334.25
9125,RICUR,RICURU8,-33.412000999999997,-70.602033000000006,-33.412233866299999,-70.600450871999996,gran santiago,61739.29
1920,OBARI,OBARIBA,-40.581361110000003,-73.095777777799995,-40.579974427300002,-73.095455842299998,osorno,21110442.29
819,PBRF2,PBRF2C,-20.254738300000000,-70.133360499999995,-20.253813744900000,-70.134187424000004,gran iquique,7263767.01
1397,APCNA,APCNAU3,-36.660054000000002,-72.472758999999996,-36.657407685599999,-72.473959643300006,,50434746.53
1,CLALD,CLALDU8,-33.355780000000003,-70.525985000000006,-33.355780000000003,-70.525985000000006,gran santiago,938423.38
7547,MPOEF,MPOEF3A,-33.517386100000003,-70.717347200000006,-33.517386100000003,-70.717347200000006,gran santiago,638455.13
4630,GLONA,GLONAU8,-32.986969999999999,-71.501580000000004,-32.987726089799999,-71.501251914199997,gran valparaiso,2994858.81
1324,MCRAF,MCRAFU7,-34.168706999999998,-70.741493000000006,-34.168706999999998,-70.741493000000006,gran rancagua,42482.22
711,SOBRA,SOBRAY,-32.214221999999999,-70.816861000000003,-32.214684277600000,-70.816402523700006,,743377607.27
4338,MPETI,MPETIW3,-36.791178000000002,-73.065923999999995,-36.790974241999997,-73.067366971699997,gran concepcion,1377667.17
6975,FRNAF,FRNAFU9,-28.510929999999998,-71.086640000000003,-28.510448410199999,-71.088145760700002,,1109188113.02
623,PLNAF,PLNAF8C,-33.493577770000002,-70.542594444399995,-33.494568257600001,-70.542385016799997,gran santiago,1109217.47
5765,AGMF2,AGMF2W1,-33.440503999999997,-70.646523999999999,-33.440374467100000,-70.646565593700004,gran santiago,7159.08
1428,CCMG1,CCMG1U8,-33.700578000000000,-71.233949999999993,-33.701650818700003,-71.233949999999993,,40409789.78
8308,SJCEF,SJCEFU8,-35.593750000000000,-71.727753000000007,-35.594396494900003,-71.726805505300007,san javier,17248453.40
4773,MELOD,MELODU2,-33.407899999999998,-70.544790000000006,-33.407899999999998,-70.544790000000006,gran santiago,398343.72
103,UTAPE,UTAPEU3,-33.037472000000001,-71.593971999999994,-33.037882913399997,-71.594383300299995,gran valparaiso,259292.79
4859,CLLLF,CLLLF9Z,-38.072000000000003,-73.232249999999993,-38.071656007300000,-73.233450538699998,,85412681.42
1113,MEPDV,MEPDVAZ,-33.425372220000000,-70.613247222200002,-33.425372220000000,-70.613247222200002,gran santiago,14429.54
163,COHIB,COHIBU1,-33.055556000000003,-71.595917000000000,-33.055416280199999,-71.594971588899995,gran valparaiso,1244053.68
4836,SLVF2,SLVF2L0,-33.439877000000003,-70.624435000000005,-33.439877000000003,-70.624435000000005,gran santiago,142130.77
1265,LOHER,LOHERU1,-33.597666666700000,-70.771222222199995,-33.596937438700003,-70.771630463099996,gran santiago,8171410.59
2672,ATICF,ATICF8B,-33.462733329999999,-70.605627777799995,-33.462838119799997,-70.604915404899998,gran santiago,424553.79
1970,PNBF2,PNBF2U2,-33.048622000000002,-71.340489000000005,-33.049945157200000,-71.341063555500000,gran valparaiso,5332941.57
28504,NCCOR,NCCORU7,-33.425269999999998,-70.550560000000004,-33.425269999999998,-70.550560000000004,gran santiago,638367.70
10167,SCICP,SCICPU8,-53.151538000000002,-70.933515000000000,-53.152154370100000,-70.932652564199998,punta arenas,1048548.00
2897,MLTG1,MLTG1X,-33.575000000000003,-71.491500000000002,-33.573826604600001,-71.491500000000002,,83153905.29
14368,JUAFE,JUAFEU1,-33.636197220000000,-78.832672221899998,-33.635895489799999,-78.832672221899998,,4102024250753.29
4637,LAGG1,LAGG1U9,-39.868966999999998,-72.841821999999993,-39.870479179699998,-72.841104877399999,,190721107.91
1140,DIVAF,DIVAFW3,-39.814805999999997,-73.246722000000005,-39.814805999999997,-73.247900452600007,valdivia,881355.35
3706,ACCES,ACCESU7,-34.588000000000001,-71.000500000000002,-34.587121198399998,-70.999752556299995,san fernando,11049758.32
228,LMCC2,LMCC2U1,-33.001327799999999,-71.267579999999995,-33.000681305100002,-71.268498678399993,limache,7542394.04
16455,LAPOU,LAPOUU7,-41.282107000000003,-72.859061999999994,-41.281352674399997,-72.857323387899996,,195007502.32
765,BLNEF,BLNEF3Z,-36.744050000000001,-72.279316666699998,-36.744050000000001,-72.280571811399994,bulnes,132805513.36
4225,RBQDN,RBQDNU1,-20.132138879999999,-69.754944444399996,-20.131712169000000,-69.754489966600005,,547657724.68
5863,ULTES,ULTESU3,-51.734768000000003,-72.453079000000002,-51.734974395599998,-72.453994658799999,,720678282.12
3427,LAVAF,LAVAFU1,-37.155000000000001,-73.582499999999996,-37.154009512400002,-73.582280870199995,,46648056548.73
4185,ASUIC,ASUICU9,-22.455928000000000,-68.922724000000002,-22.455410804100001,-68.923390939399994,calama,446220.95
3357,HAPO5,HAPO5U3,-33.413899000000001,-70.532262000000003,-33.413899000000001,-70.531980851000000,gran santiago,431794.64
2927,YALDA,YALDAU9,-43.135582999999997,-73.705556000000001,-43.138224300300003,-73.704917753499998,,4664850540.95
1438,SAVIP,SAVIPU3,-33.671999999999997,-70.622640000000004,-33.671999999999997,-70.624331939300006,,23284235.30
2980,HIPCL,HIPCLU1,-33.404897200000001,-70.668438899999998,-33.404553207299998,-70.667306763400006,gran santiago,940546.47
970,PRVC2,PRVC2W7,-33.332946000000000,-70.284246999999993,-33.332622752600003,-70.283785918299998,,101387880.02
12117,CAMOQ,CAMOQU3,-19.350259999999999,-69.512550000000005,-19.349563183800001,-69.512976391899997,,2554458340.99
5888,MEBIL,MEBILU1,-33.431483999999998,-70.584641000000005,-33.431483999999998,-70.584641000000005,gran santiago,288924.06
972,LRCYF,LRCYFU7,-35.399441699999997,-71.629386100000005,-35.398536607200001,-71.628062837499996,talca,12698098.31
12496,MQUNF,MQUNF8A,-33.024561100000000,-71.554349999999999,-33.024980169800003,-71.553484277699994,gran valparaiso,67968.58
1044,FOSF2,FOSF2C,-33.417025000000002,-70.595966666699994,-33.417437791300003,-70.597325432199995,gran santiago,19540.75
250,LAREF,LAREF9X,-36.814988300000003,-73.068099700000005,-36.814340635500002,-73.067882931100002,gran concepcion,2476583.84
5223,SEALM,SEALMU2,-29.897939999999998,-71.249060000000000,-29.898318044900002,-71.249218721099993,gran la serena,691302.04
824,EFEC1,EFEC1U9,-33.515301000000001,-70.686995999999994,-33.515301000000001,-70.688242545799994,gran santiago,1229661.76
2137,SANSO,SANSOU1,-33.555360999999998,-71.569305999999997,-33.554154079000000,-71.569305999999997,gran san antonio,21661248.33
345,VILCH,VILCHU7,-35.575940000000003,-71.145920000000004,-35.576254369399997,-71.143727960500001,,24356949767.60
14835,MTHYF,MTHYF8B,-33.418641659999999,-70.603041666699994,-33.418847116700000,-70.603248214600001,gran santiago,24876.87
2381,CMALH,CMALHU3,-20.268816659999999,-70.095480555600005,-20.268561626600000,-70.096063577799995,gran iquique,2182154.18
1228,VIHG1,VIHG1U1,-34.918799999999997,-71.164597000000001,-34.916788465000003,-71.164597000000001,,31654107.90
5691,MFLXF,MFLXF8B,-33.422493000000003,-70.612769999999998,-33.422622298999997,-70.612954623600004,gran santiago,43355.05
5713,LANON,LANONU8,-37.488689999999998,-72.341706000000002,-37.489142595399997,-72.340718036400006,los angeles,7282868.49
1014,EBPHE,EBPHEW1,-33.376688999999999,-70.558404999999993,-33.376411334099998,-70.557164076800007,gran santiago,584093.29
2630,SNMNF,SNMNFW1,-33.442290000000000,-70.647594999999995,-33.441926821199999,-70.647671743499998,gran santiago,13476.46
400,AGSTF,AGSTFW1,-33.440195000000003,-70.644901000000004,-33.440597306999997,-70.644901000000004,gran santiago,27564.56
1857,LMSUF,LMSUFU8,-41.616000000000000,-73.205799999999996,-41.617890224600004,-73.204879729799998,,192265817.47
2359,CLATF,CLATFU2,-40.680969439999998,-73.126988888900001,-40.681519828399999,-73.124994835500004,,120585076.71
446,SSCHI,SSCHIU9,-36.612537000000003,-72.200793000000004,-36.612396746500004,-72.202790168799993,,89081877.07
272,SING1,SING1L0,-36.795409999999997,-72.029409999999999,-36.795409999999997,-72.029409999999999,,204216251.28
2634,BOSCO,BOSCOU2,-36.816108000000000,-73.033500000000004,-36.816625195900002,-73.034269925999993,gran concepcion,968746.83
5261,HVIT2,HVIT2U3,-33.384475999999999,-70.576250000000002,-33.384406140099998,-70.575775513599993,gran santiago,625312.40
234,NVBRF,NVBRFU3,-41.335189999999997,-73.085880000000003,-41.336114555100004,-73.086913223600007,,101809111.44
2290,BARAM,BARAMU8,-53.088169999999998,-70.883060000000000,-53.089946855900003,-70.883060000000000,punta arenas,24365912.42
6113,MLPIF,MLPIF8A,-33.414475000000003,-70.597097222200006,-33.414725390599997,-70.597212371599994,gran santiago,37202.78
4482,SDFMF,SDFMFL0,-35.002380000000002,-71.384410000000003,-35.002380000000002,-71.384410000000003,,149734375.20
474,AHRRF,AHRRF6X,-29.993555000000001,-71.340889000000004,-29.993310490399999,-71.339287904700001,gran la serena,2869806.65
3401,CSVF2,CSVF2U7,-34.071995000000001,-71.349495000000005,-34.071878122100003,-71.347882222999999,,331161366.08
2601,MDUA1,MDUA1B,-33.459389000000002,-70.571583000000004,-33.459284210200003,-70.570870656300002,gran santiago,251177.84
237,LPRC1,LPRC1U1,-33.443001000000002,-70.714896999999993,-33.442159013800001,-70.715479569699994,gran santiago,664727.34
2494,CHOG1,CHOG1A,-42.557749999999999,-73.826027777799993,-42.558064369400000,-73.823607337499993,,133097200.68
1672,LIRF2,LIRF2L0,-33.454110000000000,-70.641490000000005,-33.454110000000000,-70.641490000000005,gran santiago,327098.16
102,TLCC1,TLCC1U9,-35.429729000000002,-71.660385000000005,-35.429729000000002,-71.660878732900002,talca,371022.45
4555,INZON,INZONU3,-33.418863999999999,-70.567272000000003,-33.419417172099998,-70.568419917400007,gran santiago,229524.76
648,GUANG,GUANGU7,-32.132722000000001,-71.335806000000005,-32.130979959599998,-71.334618320999994,,483769800.74
16924,VISLU,VISLUU7,-30.592949999999998,-71.203773999999996,-30.593346194999999,-71.203855156800003,ovalle,1674217.20
74,CHIF2,CHIF2U3,-34.689255000000003,-71.025581000000003,-34.690389134699998,-71.026083032900004,chimbarongo,51202209.36
6330,SURAA,SURAAU2,-33.411470000000001,-70.579640999999995,-33.411470000000001,-70.579640999999995,gran santiago,58762.89
1342,OCNC1,OCNC1U1,-33.442883299999998,-70.770563899999999,-33.441892812399999,-70.770773200400001,gran santiago,1354196.58
5210,CRECE,CRECERB,-33.373663000000001,-70.548683999999994,-33.374011408100003,-70.548443125700004,gran santiago,586338.92
327,RUITA,RUITAL0,-36.775546900000002,-72.900782500000005,-36.775546900000002,-72.900782500000005,,35675980.47
296,LCZG1,LCZG1U7,-34.416245000000004,-71.454207999999994,-34.415166352400000,-71.453110869800000,,101173467.20
2472,PNUF2,PNUF2U7,-29.954699999999999,-71.291100000000000,-29.953799945800000,-71.290500242899995,gran la serena,2061757.88
8590,LRGAV,LRGAVU1,-40.870905999999998,-72.295513999999997,-40.870556700599998,-72.292894320200006,,1528049185.35
759,PENG3,PENG3A,-36.742032999999999,-72.936616999999998,-36.740052024800001,-72.937052884500005,,34776008.77
458,RTMCF,RTMCF8Y,-22.273605000000000,-68.925392000000002,-22.274516534899998,-68.924932668200000,,373844057.63
2913,CDCHF,CDCHFU1,-23.649080000000001,-70.400660000000002,-23.648949844099999,-70.401190281200002,antofagasta,221935.16
5726,SAVLE,SAVLEAB,-33.325750999999997,-70.543918000000005,-33.326268195899999,-70.543180323100003,gran santiago,2627543.76
1164,ANVC2,ANVC2U7,-33.431576000000000,-70.617384999999999,-33.430850149800001,-70.616882850200000,gran santiago,213879.24
2383,PVOEN,PVOENU1,-41.328977999999999,-72.968154999999996,-41.328908140099998,-72.967627394900006,gran puerto montt,14240921.60
1134,BSFEF,BSFEF6B,-37.476512999999997,-72.460669999999993,-37.477051745700003,-72.461479040499995,,135869455.06
1233,DIGOR,DIGORU8,-33.444400000000002,-70.617599999999996,-33.444951646100002,-70.617218304100007,gran santiago,318442.85
1521,LDLDE,LDLDEL0,-33.340167999999998,-70.528610999999998,-33.340167999999998,-70.528610999999998,gran santiago,1776888.03
1895,ARIVE,ARIVEW2,-29.968416999999999,-71.333250000000007,-29.969158488800002,-71.332650670199996,gran la serena,983947.94
9733,DRVAL,DRVALU1,-39.811624000000002,-73.246481000000003,-39.811624000000002,-73.246481000000003,valdivia,202516.58
1402,COROF,COROFU1,-36.950827799999999,-73.158036100000004,-36.949315620299998,-73.157347397899997,gran concepcion,100574919.15
298,INTER,INTERU1,-33.489600000000003,-70.750500000000002,-33.489407885299997,-70.749193582399997,gran santiago,669189.34
8009,SNLEO,SNLEOU3,-33.639581000000000,-70.691588999999993,-33.639150003399998,-70.692205955299997,gran santiago,5234869.03
2534,MCLF2,MCLF2C,-33.469144000000000,-70.597199000000003,-33.469317541199999,-70.597975407400000,gran santiago,695321.89
1736,MCHLF,MCHLF9A,-34.194027800000001,-70.639602800000006,-34.194027800000001,-70.638751628500003,,13816433.42
382,GRJC1,GRJC1U2,-33.539902777800002,-70.614302777800006,-33.540773797999996,-70.613699432800004,gran santiago,931124.77
1350,SFPOF,SFPOF5X,-34.573008000000002,-70.992116999999993,-34.574227428299999,-70.991261954699993,san fernando,2743645.03
1270,SCZC2,SCZC2A,-34.641638999999998,-71.365333000000007,-34.640868537400003,-71.364547208800005,santa cruz,323737.99
826,SAMAV,SAMAVU1,-32.994556000000003,-71.520527999999999,-32.994556000000003,-71.519728555800000,gran valparaiso,1898067.85
1775,SCPAZ,SCPAZW3,-34.639360000000003,-71.349324999999993,-34.637973167299997,-71.350739374800000,santa cruz,14790946.39
15795,HAPO9,HAPO9U1,-33.402683000000003,-70.527431000000007,-33.402763264999997,-70.527166840199996,gran santiago,421282.45
645,PCBRI,PCBRIU8,-30.730277800000000,-71.261027799999994,-30.731862580200001,-71.260702707099995,,270808388.32
5988,PUNTI,PUNTIL0,-33.726100000000002,-71.001900000000006,-33.726100000000002,-71.001900000000006,,102308547.77
3039,HMAR2,HMAR2U8,-33.399991999999997,-70.574419000000006,-33.399991999999997,-70.574419000000006,gran santiago,5853.00
252,SOIQQ,SOIQQL0,-20.213311000000001,-70.148972000000001,-20.213311000000001,-70.148972000000001,gran iquique,212082.40
3073,PCALC,PCALCZ,-33.191055560000002,-70.339416670000006,-33.190904694899999,-70.339728919099997,,21756249.95
261,VRSCF,VRSCFU7,-41.323967000000003,-72.978438999999995,-41.324211509599998,-72.976592515199997,gran puerto montt,1943210.95
1556,GOCAF,GOCAF8A,-33.020465999999999,-71.521225000000001,-33.019420775800000,-71.520505297400007,gran valparaiso,892756.22
667,TINTF,TINTF6A,-33.059199999999997,-70.871949999999998,-33.060145112299999,-70.871539555699997,,98395093.64
906,OLVCL,OLVCLU3,-34.219918000000000,-70.775312000000000,-34.220330791300000,-70.776683581399993,gran rancagua,13950662.32
185,MSIGF,MSIGFU2,-33.416015000000002,-70.593570000000000,-33.416015000000002,-70.593570000000000,gran santiago,9795.87
10105,EDUAR,EDUARDA,-29.903888880000000,-71.247050000000002,-29.903500281300001,-71.247170116199996,gran la serena,87580.60
5874,BULN2,BULN2W1,-36.741390000000003,-72.307500000000005,-36.740003317300001,-72.307805118900006,bulnes,56108328.08
8653,HUEQO,HUEQOBC,-33.834083329999999,-70.642219444399998,-33.835007885099998,-70.643153410699995,,135607093.60
2524,LUISG,LUISGU3,-33.496588879999997,-70.751230555600003,-33.496924135800000,-70.751926885299994,gran santiago,689993.14
315,TOBAL,TOBALAB,-33.435360000000003,-70.592100000000002,-33.435628204700002,-70.591543329999993,gran santiago,386136.82
3557,PILG1,PILG1B,-40.565049999999999,-73.118840000000006,-40.566055767500004,-73.116546805799999,osorno,17888521.83
1610,ENJAI,ENJAIU9,-23.685158000000001,-70.414364000000006,-23.685158000000001,-70.414364000000006,antofagasta,5258134.14
3896,PITEN,PITENU1,-38.990110000000001,-72.636610000000005,-38.989204907199998,-72.637997748399997,pitrufquen,9507962.42
665,ELYEU,ELYEUU2,-33.797485000000002,-70.213123999999993,-33.798244373800003,-70.213285128600006,,16846656902.87
3328,MLILD,MLILDU7,-33.352285000000002,-70.520888999999997,-33.352981816200000,-70.520407367900006,gran santiago,355894.16
1143,JCASF,JCASFU7,-33.424080549999999,-70.690769444400004,-33.422873629000001,-70.690769444400004,gran santiago,1249507.12
655,JPHF3,JPHF3B,-33.428406000000003,-70.541550000000001,-33.428062007299999,-70.540417556899996,gran santiago,662825.86
3686,FONTA,FONTAU7,-33.419333000000002,-70.558000000000007,-33.418072850300000,-70.557450495799998,gran santiago,369876.07
57,VLSUR,VLSURW1,-28.583072219999998,-70.748011111200000,-28.582267605999998,-70.748011111200000,vallenar,1204613.07
6129,AHSPF,AHSPFU9,-20.273029999999999,-70.102649999999997,-20.273853876499999,-70.103264984600003,gran iquique,1429343.58
6723,RQUEF,RQUEFL0,-42.895229999999998,-73.698930000000004,-42.895229999999998,-73.698930000000004,,376284330.35
12743,BOLF2,BOLF2A,-33.442797220000003,-70.651122222200001,-33.442797220000003,-70.651122222200001,gran santiago,14692.59
383,TBNC1,TBNC1U2,-36.825205799999999,-73.045477700000006,-36.826412720999997,-73.045477700000006,gran concepcion,188202.89
2782,PICHA,PICHAU1,-35.524222000000002,-72.187556000000001,-35.523383860400003,-72.185772318000005,,197660905.54
1520,CMVG1,CMVG1X,-37.442501000000000,-72.371002000000004,-37.440891772000001,-72.371002000000004,los angeles,27453596.64
126,MESAM,MESAMU1,-33.488739000000002,-70.651077000000001,-33.488739000000002,-70.651077000000001,gran santiago,306656.31
5492,COLCU,COLCUL0,-37.111424000000000,-73.142725999999996,-37.111424000000000,-73.142725999999996,gran concepcion,23398451.63
9538,BCIGF,BCIGFU7,-33.414540000000002,-70.591520000000003,-33.414540000000002,-70.591520000000003,gran santiago,61283.83
3124,MASR1,MASR1U9,-33.401192000000002,-70.712222999999994,-33.400588539499999,-70.712222999999994,gran santiago,2242026.12
4475,PCCBE,PCCBEU7,-53.141190000000002,-70.920079999999999,-53.140412802599997,-70.920427165700005,punta arenas,696073.79
8554,REYES,REYESU8,-33.442442000000000,-70.670556000000005,-33.442952066799997,-70.669245122700005,gran santiago,261587.44
6936,CRUCE,CRUCEU1,-34.173082999999998,-71.723167000000004,-34.173384730199999,-71.722535323599999,,99269466.70
236,APIMB,APIMBU8,-33.582971999999998,-70.549750000000003,-33.583359896899999,-70.549195099499997,gran santiago,2460800.55
2632,PAAR2,PAAR2U2,-33.402107000000001,-70.578270000000003,-33.402107000000001,-70.578270000000003,gran santiago,9966.92
1065,MPPVA,MPPVAW1,-41.319332000000003,-72.985487000000006,-41.318728539500000,-72.985487000000006,gran puerto montt,1917433.13
8967,BMUNI,BMUNIW1,-38.731111110000001,-72.586694444399996,-38.730593914099998,-72.585904323999998,gran temuco,2790970.62
1508,BAHIA,BAHIAU2,-33.569229999999997,-70.604339999999993,-33.570101020199999,-70.603736450100001,gran santiago,2243693.55
1130,INDED,INDEDU9,-33.399293999999998,-70.668845000000005,-33.399696306999999,-70.669679659500005,gran santiago,901576.88
2840,TUBUL,TUBULW3,-37.245089999999998,-73.434950000000001,-37.246413157200003,-73.435554981999999,,274708096.23
8065,MFRA3,MFRA3U1,-33.436428999999997,-70.735713000000004,-33.436428999999997,-70.736235269399998,gran santiago,702216.30
5176,CANRA,CANRAZ,-22.873030000000000,-69.360749999999996,-22.873186187100000,-69.361382644599999,,842121389.72
1085,OBSER,OBSERU7,-33.591889000000002,-70.632638999999998,-33.591017334800000,-70.632638999999998,gran santiago,1119639.59
2648,CHIVV,CHIVVU3,-36.618560000000002,-72.073977999999997,-36.619385406299997,-72.074159333899999,gran chillan,3582977.22
1512,CUHIE,CUHIEU9,-33.387390000000003,-71.190640000000002,-33.388524134699999,-71.191134385599995,,122680959.70
1295,3NORP,3NORPU8,-33.018332999999998,-71.556667000000004,-33.019194993200003,-71.555441838299998,gran valparaiso,206357.20
12996,OFCAS,OFCAS9B,-23.909140000000001,-69.780829999999995,-23.909678745699999,-69.780127678499994,,3525117401.84
