field_1,Antenas,Nombres,Lat,Long,CentroLat,CentroLong,MINVU,Area
1324,MCRAF,MCRAFU7,-34.168706999999998,-70.741493000000006,-34.168706999999998,-70.741493000000006,gran rancagua,42482.22
4338,MPETI,MPETIW3,-36.791178000000002,-73.065923999999995,-36.790974241999997,-73.067366971699997,gran concepcion,1377667.17
623,PLNAF,PLNAF8C,-33.493577770000002,-70.542594444399995,-33.494568257600001,-70.542385016799997,gran santiago,1109217.47
5765,AGMF2,AGMF2W1,-33.440503999999997,-70.646523999999999,-33.440374467100000,-70.646565593700004,gran santiago,7159.08
8308,SJCEF,SJCEFU8,-35.593750000000000,-71.727753000000007,-35.594396494900003,-71.726805505300007,san javier,17248453.40
4773,MELOD,MELODU2,-33.407899999999998,-70.544790000000006,-33.407899999999998,-70.544790000000006,gran santiago,398343.72
103,UTAPE,UTAPEU3,-33.037472000000001,-71.593971999999994,-33.037882913399997,-71.594383300299995,gran valparaiso,259292.79
1113,MEPDV,MEPDVAZ,-33.425372220000000,-70.613247222200002,-33.425372220000000,-70.613247222200002,gran santiago,14429.54
163,COHIB,COHIBU1,-33.055556000000003,-71.595917000000000,-33.055416280199999,-71.594971588899995,gran valparaiso,1244053.68
4836,SLVF2,SLVF2L0,-33.439877000000003,-70.624435000000005,-33.439877000000003,-70.624435000000005,gran santiago,142130.77
1265,LOHER,LOHERU1,-33.597666666700000,-70.771222222199995,-33.596937438700003,-70.771630463099996,gran santiago,8171410.59
2672,ATICF,ATICF8B,-33.462733329999999,-70.605627777799995,-33.462838119799997,-70.604915404899998,gran santiago,424553.79
1970,PNBF2,PNBF2U2,-33.048622000000002,-71.340489000000005,-33.049945157200000,-71.341063555500000,gran valparaiso,5332941.57
28504,NCCOR,NCCORU7,-33.425269999999998,-70.550560000000004,-33.425269999999998,-70.550560000000004,gran santiago,638367.70
10167,SCICP,SCICPU8,-53.151538000000002,-70.933515000000000,-53.152154370100000,-70.932652564199998,punta arenas,1048548.00
1140,DIVAF,DIVAFW3,-39.814805999999997,-73.246722000000005,-39.814805999999997,-73.247900452600007,valdivia,881355.35
3706,ACCES,ACCESU7,-34.588000000000001,-71.000500000000002,-34.587121198399998,-70.999752556299995,san fernando,11049758.32
228,LMCC2,LMCC2U1,-33.001327799999999,-71.267579999999995,-33.000681305100002,-71.268498678399993,limache,7542394.04
765,BLNEF,BLNEF3Z,-36.744050000000001,-72.279316666699998,-36.744050000000001,-72.280571811399994,bulnes,132805513.36
4185,ASUIC,ASUICU9,-22.455928000000000,-68.922724000000002,-22.455410804100001,-68.923390939399994,calama,446220.95
3357,HAPO5,HAPO5U3,-33.413899000000001,-70.532262000000003,-33.413899000000001,-70.531980851000000,gran santiago,431794.64
2980,HIPCL,HIPCLU1,-33.404897200000001,-70.668438899999998,-33.404553207299998,-70.667306763400006,gran santiago,940546.47
5888,MEBIL,MEBILU1,-33.431483999999998,-70.584641000000005,-33.431483999999998,-70.584641000000005,gran santiago,288924.06
972,LRCYF,LRCYFU7,-35.399441699999997,-71.629386100000005,-35.398536607200001,-71.628062837499996,talca,12698098.31
12496,MQUNF,MQUNF8A,-33.024561100000000,-71.554349999999999,-33.024980169800003,-71.553484277699994,gran valparaiso,67968.58
1044,FOSF2,FOSF2C,-33.417025000000002,-70.595966666699994,-33.417437791300003,-70.597325432199995,gran santiago,19540.75
250,LAREF,LAREF9X,-36.814988300000003,-73.068099700000005,-36.814340635500002,-73.067882931100002,gran concepcion,2476583.84
5223,SEALM,SEALMU2,-29.897939999999998,-71.249060000000000,-29.898318044900002,-71.249218721099993,gran la serena,691302.04
824,EFEC1,EFEC1U9,-33.515301000000001,-70.686995999999994,-33.515301000000001,-70.688242545799994,gran santiago,1229661.76
2137,SANSO,SANSOU1,-33.555360999999998,-71.569305999999997,-33.554154079000000,-71.569305999999997,gran san antonio,21661248.33
14835,MTHYF,MTHYF8B,-33.418641659999999,-70.603041666699994,-33.418847116700000,-70.603248214600001,gran santiago,24876.87
2381,CMALH,CMALHU3,-20.268816659999999,-70.095480555600005,-20.268561626600000,-70.096063577799995,gran iquique,2182154.18
5691,MFLXF,MFLXF8B,-33.422493000000003,-70.612769999999998,-33.422622298999997,-70.612954623600004,gran santiago,43355.05
5713,LANON,LANONU8,-37.488689999999998,-72.341706000000002,-37.489142595399997,-72.340718036400006,los angeles,7282868.49
1014,EBPHE,EBPHEW1,-33.376688999999999,-70.558404999999993,-33.376411334099998,-70.557164076800007,gran santiago,584093.29
2630,SNMNF,SNMNFW1,-33.442290000000000,-70.647594999999995,-33.441926821199999,-70.647671743499998,gran santiago,13476.46
400,AGSTF,AGSTFW1,-33.440195000000003,-70.644901000000004,-33.440597306999997,-70.644901000000004,gran santiago,27564.56
2634,BOSCO,BOSCOU2,-36.816108000000000,-73.033500000000004,-36.816625195900002,-73.034269925999993,gran concepcion,968746.83
5261,HVIT2,HVIT2U3,-33.384475999999999,-70.576250000000002,-33.384406140099998,-70.575775513599993,gran santiago,625312.40
2290,BARAM,BARAMU8,-53.088169999999998,-70.883060000000000,-53.089946855900003,-70.883060000000000,punta arenas,24365912.42
6113,MLPIF,MLPIF8A,-33.414475000000003,-70.597097222200006,-33.414725390599997,-70.597212371599994,gran santiago,37202.78
474,AHRRF,AHRRF6X,-29.993555000000001,-71.340889000000004,-29.993310490399999,-71.339287904700001,gran la serena,2869806.65
