X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area,conb_Conurbacion,conb_Pob_Conurb_2002,conb_vehicle,conb_motor vehicle,conb_Non-motorized vehicle,conb_private transport,conb_public transport,conb_CO2(movil transport sources),conb_Green spaces,conb_Iliteracy,conb_Municipal spending(M$/hab),conb_Unemployment,conb_Crime reports,conb_Arrested person,conb_Companies,conb_Sales,conb_workers,conb_Income(workers),conb_Professional technicians,conb_University Professional,conb_Professionals,conb_Solid Waste,conb_Municipal spending for Power Consumption,conb_Municipal spending for Water Consumption,conb_Municipal Spending cleaning services garbage collection landfill,conb_Deaths,conb_Birthrate,conb_Year of scholarship,conb_Offence Against Property,conb_Offence Against the Person,conb_Burglary,conb_Robbery,conb_Injuries,conb_Indigenous,conb_Emergency attendence,conb_Respiratory Diseases,conb_Cardiovascular Diseases,conb_Hospitalizations,conb_Street length
-72.5284153904418,-37.5858422416647,Negrete,Ciudad,4079.87561,711270.48142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.1467475433608,-37.1095958799774,Lota,Ciudad,3891.61913,635335.00646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.6565565629965,-36.8227799077548,Florida,Pueblo,8021.64060,1556327.56181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.0607712210643,-36.6384935634464,Isla Quiriquina,Pueblo,4129.94763,286644.27229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.3900384340047,-37.6697104432492,Antiguala,Pueblo,10541.35343,1042970.93344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.9465581422488,-37.2402586926397,Huepil,Ciudad,8352.78158,2675814.86236,Huepil,6576,1671,1551,120,1246,53,,60051.90000,294.90836,10268.87490,357.07614,95,67,551,1434294.32000,1666,176445.06590,281.09400,413.97480,695.06880,5289,153640,13782,194838,110,148,39322.49520,49.00005,45.99848,16.66121,2.93999,42.14621,121.38150,23251,7173,377,818,27335.87862
-72.4374232715458,-37.0864140731597,Monte Aguila,Pueblo,7520.83082,1747190.38547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-68.9232686963577,-22.4515205083709,Calama,Ciudad,31299.97527,17515368.09470,Calama,136600,33236,31931,1305,24627,4272,124119.07000,152242.20000,160.47712,64398.45060,4381.02535,3066,1187,6344,46853067.17000,32200,4538646.59200,11404.32480,10933.75800,22338.08280,44341,1099776,206834,3206887,598,2893,499827.75080,1990.99996,1074.99601,1330.83211,146.26323,832.34963,13148.19000,100945,26479,3026,3979,392271.07450
-70.4317088901484,-23.0988489560396,Mejillones,Ciudad,17400.05844,7553971.82360,Mejillones,7825,1788,1732,56,1513,116,,14310.60000,39.20818,13216.26000,237.22597,198,71,395,1254288.91000,1054,102201.60920,462.99000,385.54440,848.53440,3619,160790,73416,424363,39,159,26028.45600,120.00002,78.00035,83.77930,5.58450,62.36812,192.77220,28285,7720,491,60,26758.43546
-70.3941167514764,-23.6208517334124,Antofagasta,Ciudad,57876.82436,35083002.36200,Antofagasta,285255,42846,41381,1465,35200,3692,186838.65000,,680.86255,155548.52950,5775.98393,5830,1850,15075,151080625.80000,82360,13245820.99000,20486.44500,36073.95750,56560.40250,123137,2079290,1655983,6372096,1787,6128,1103889.82100,3769.99874,2059.98627,2463.30202,497.37526,1250.89046,5106.76600,314862,105722,3624,9706,704497.64000
-70.4811232848703,-25.4059141022466,Taltal,Ciudad,7610.91798,2074162.79765,Taltal,9564,959,921,38,774,107,,,161.61900,15140.40000,294.57036,240,77,631,1185221.39000,901,113779.25610,307.47000,395.16000,702.63000,3679,293252,81648,242910,61,175,50119.83000,135.99986,104.00034,68.11515,9.87123,88.84662,101.01000,27518,6372,387,109,22007.09197
-70.3322644477111,-27.3651114798445,Copiap,Ciudad,45266.60741,16935952.96740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-70.6159936274308,-26.3434202154637,Chaaral,Ciudad,8704.00588,2301685.53515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-70.8168541819144,-27.0685365819,Caldera,Ciudad,12305.00450,2955959.28780,Caldera,12776,3572,3466,106,2848,403,,75537.00000,123.28737,8686.75500,199.19794,461,131,803,2474054.78000,2889,270992.43480,546.61320,726.52860,1273.14180,8250,179211,72756,,68,284,46435.34070,336.99995,124.00017,217.14415,9.60693,103.76724,373.56480,36319,9678,189,,66158.71639
-71.3117076130986,-29.9651693042544,Coquimbo,Ciudad,49899.27037,37315429.74000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.1969287026688,-30.5973621807072,Ovalle,Ciudad,16915.68205,7385884.25019,Ovalle,66405,11683,11544,139,9331,1354,26374.22000,107897.90000,1555.93676,46494.18600,2385.76970,1397,364,5987,12318190.52000,21982,1557003.82000,3933.36890,4198.20920,8131.57810,23288,825184,154713,1505683,612,1713,417129.35780,908.00006,488.99328,559.10730,98.60887,306.35156,667.00520,131026,146,3601,3699,202096.74130
-71.0033059618256,-31.1792961750298,Combarbal,Ciudad,6077.45895,1283014.96549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.1666197863747,-31.630085603653,Illapel,Ciudad,8820.44127,2260305.07645,Illapel,21826,3001,2877,124,2351,307,,69816.50000,732.65435,15232.13900,772.23120,501,166,1785,2913668.46000,3471,380181.10340,1086.70900,1059.38950,2146.09850,13855,327720,78909,221322,183,452,86630.13450,329.99983,170.99882,232.84410,19.56380,137.94223,218.55600,27809,2151,190,421,58467.75520
-71.5056685639357,-31.9125021117006,Los Vilos,Ciudad,8504.45073,2304555.16161,Los Vilos,10966,2761,2688,73,2304,213,,27924.80000,340.13454,3277.67340,490.67556,423,117,1037,1240203.75000,1871,188819.11600,635.28920,631.79860,1267.08780,3959,333586,23774,313552,114,300,57285.98190,296.99980,126.00019,197.53480,6.77875,111.35538,181.51120,20555,6262,1027,399,55757.72642
-71.2466971049297,-29.9171723673426,La Serena,Ciudad,49691.97698,38650537.61520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.8324215764987,-36.6277132337762,Coihueco,Ciudad,8404.35257,1673081.53923,Coihueco,7230,2241,2163,78,1885,77,,14149.80000,1061.19680,10720.83180,520.40134,183,52,1191,1607536.20000,4056,232941.84930,398.55270,429.21060,827.76330,5304,184453,13897,205986,141,371,59833.60845,95.99979,87.00005,29.25235,4.87461,78.01256,282.99600,,,,,18172.12086
-73.2271343627758,-38.0158255754536,Contulmo,Pueblo,9332.49418,903338.48097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.6532927086904,-37.611933002548,Lebu,Ciudad,12475.51456,2799199.31378,Lebu,20838,1511,1506,5,1246,138,,25035.00000,464.74974,17476.93350,805.56622,400,168,880,1761561.12000,3248,595390.19240,498.19650,948.82650,1447.02300,7744,283957,67840,158747,166,374,75606.95175,230.00005,169.99766,109.40045,8.78979,153.35189,2949.12300,42889,11871,401,1565,51784.37019
-72.6568576509702,-37.5147386223511,El Sauzal,Pueblo,8982.03086,2775660.40667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.6805350166148,-37.5007557184622,Nacimiento,Ciudad,12623.19577,3522671.79507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.034545059118,-36.8684103594526,Chiguayante,Ciudad,13031.30228,1609025.44000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.3960894609358,-37.8003528114018,Caete,Ciudad,11662.12704,3761494.50329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.005338931798,-37.6836359988633,Quillaco,Pueblo,5985.17920,911186.94328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-71.815320330483,-36.2822813266659,San Gregorio,Pueblo,3788.26721,521522.77313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.0972753031517,-36.977261130184,Pemuco,Pueblo,7144.65795,2108778.83874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.9610919391475,-36.6715605708007,Punta de Parra,Pueblo,6429.03007,606292.41389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.9342225609086,-36.547299272608,Dichato,Pueblo,7630.54712,1059034.94022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.2967060886,-36.7428207068907,Bulnes,Ciudad,5648.84217,1749626.65422,Bulnes,10681,1291,1119,172,753,92,,8238.00000,342.09119,12130.45500,639.20372,293,94,1145,2715910.19000,3607,339631.86470,607.55250,698.17050,1305.72300,2439,171176,17154,224566,156,267,62907.01560,182.00007,111.00087,69.46488,3.91305,101.75166,142.10550,33570,8835,696,1454,30090.38415
-72.1292461018674,-36.6282342003178,Chillan Viejo,Ciudad,14745.06316,4474306.61962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.1005132776542,-36.609262148082,Chillan,Ciudad,32925.26815,21701062.92750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.9558654512712,-36.6102151508206,Tome,Ciudad,28211.64692,6901670.16401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.3380294930807,-38.2338613869491,Victoria,Ciudad,19381.07762,6454703.89102,Victoria,23977,4197,3994,203,3394,237,,36851.10000,987.14047,21316.68630,1645.23411,667,159,1883,3752729.09000,4646,484105.81260,877.72620,2107.21290,2984.93910,11706,310841,27463,290640,198,438,96396.44742,433.99976,232.99946,209.58896,6.92131,221.45166,2358.47040,66721,23169,2202,3442,79513.25991
-72.2291962628017,-39.2884835047515,Villarrica,Ciudad,12099.52085,4925456.44390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.1568514546989,-39.4869197828762,Lican Ray,Pueblo,10602.93432,2802120.39469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.070490701775,-38.0339094320439,Puren,Ciudad,9083.36014,2548859.04332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.3758060731387,-38.0625209337804,Ercilla,Pueblo,6072.51512,1340279.57606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.431595358928,-37.9568723050707,Collipulli,Ciudad,7652.75403,2456089.45367,Collipulli,14240,2860,2729,131,2164,150,,11177.00000,630.04771,12484.70900,492.73804,236,168,938,1329614.31000,3893,219246.38640,315.19140,684.03240,999.22380,7670,263122,19023,290894,162,378,52661.10612,109.99979,125.99832,72.26154,14.84753,104.92744,1479.83480,45165,16000,862,769,41415.52010
-72.4517528247876,-38.6363853729871,Pillanlelbun,Pueblo,6208.24661,1565850.61440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-73.1640200373196,-39.1787874346271,Tolten,Pueblo,4971.58560,836704.87414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.9058375479321,-38.1664349602889,Lumaco,Pueblo,4713.36152,812004.76336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-72.8368556029517,-37.9800184485498,Los Sauces,Pueblo,8421.27027,1516023.58467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
