X,Y,NOMBRE,TIPO_AREA,SHAPE_Leng,SHAPE_Area,datos_com_conb_Comuna,datos_com_conb_Pob_Comun_2002,datos_com_conb_Conurbacion,datos_com_conb_Pob_Conurb_2002,datos_com_conb_vehicle,datos_com_conb_motor vehicle,datos_com_conb_Non-motorized vehicle,datos_com_conb_private transport,datos_com_conb_public transport,datos_com_conb_CO2(movil transport sources),datos_com_conb_Green spaces,datos_com_conb_Iliteracy,datos_com_conb_Municipal spending(M$/hab),datos_com_conb_Unemployment,datos_com_conb_Crime reports,datos_com_conb_Arrested person,datos_com_conb_Companies,datos_com_conb_Sales,datos_com_conb_workers,datos_com_conb_Income(workers),datos_com_conb_Professional technicians,datos_com_conb_University Professional,datos_com_conb_Professionals,datos_com_conb_Solid Waste,datos_com_conb_Municipal spending for Power Consumption,datos_com_conb_Municipal spending for Water Consumption,"datos_com_conb_Municipal Spending cleaning services, garbage collection, landfill",datos_com_conb_Deaths,datos_com_conb_Birthrate,datos_com_conb_Year of scholarship,datos_com_conb_Offence Against Property,datos_com_conb_Offence Against the Person,datos_com_conb_Burglary,datos_com_conb_Robbery,datos_com_conb_Injuries,datos_com_conb_Indigenous,datos_com_conb_Emergency attendence,datos_com_conb_Respiratory Diseases,datos_com_conb_Cardiovascular Diseases,datos_com_conb_Hospitalizations,datos_com_conb_Street length
315888.276946736,6371764.9111227,Catemu,Ciudad,3790.69282543000,669596.27878900000,Catemu,12112,Catemu,6706,1236,1177,59,1015,66,,1211.2,232.48984,7287.7904,287.0192752,221,35,695,700983.04,1611,114318.5184,329.4464,329.4464,658.8928,4446,92795,8704,156556,73,197,40552.7928,120.99997008,99.9990944,66.6450688,1.9306528,73.404776,95.6848,,,,,17868.28533
253900.027737132,6309070.38892858,Algarrobo Norte,Pueblo,7895.19797841000,1119083.96399000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299256.821476004,6368828.95192296,Hijuelas,Ciudad,3772.63416408000,447372.15345200000,Hijuelas,16014,Gran Quillota,128874,2073,2028,45,1573,208,,20818.2,413.50998492,8532.2592,337.69010052,79,27,1198,6254323.77,7674,553439.8761,462.8046,349.1052,811.9098,6246,92871,8284,197390,79,238,49311.9102,31.99981536,46.9994886,18.0621906,1.8992604,39.9245034,110.4966,,,,,7986.44944
297572.452421799,6347428.16870693,Olmue,Ciudad,15014.38956130000,5935316.13609999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273796.808159371,6376340.66509034,Puchuncavi,Pueblo,3581.60867139000,453046.90758499998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341996.296987079,6364495.18716815,Rinconada,Localidad,3348.51710931000,353787.57773199998,Rinconada,6692,Rinconada,5727,1197,1176,21,942,116,,4015.2,203.93890076,1677.6844,136.1273256,57,27,405,529869.04,2182,75232.1796,211.4672,262.3264,473.7936,2639,138308,45870,16558,40,156,16668.63436,45.0000194,11.9994252,19.9809736,,11.4178904,32.7908,,,,,19351.75294
292782.227316267,6408796.383276,Valle Hermoso,Pueblo,6230.38339280000,547751.68662599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253684.81928319,6295110.49961702,El Tabo,Ciudad,23806.00535150000,8057158.65964999981,El Tabo,7028,El Quisco,18581,7508,7485,23,7254,154,,14758.8,43.1505144,17312.7752,83.903778,162,66,500,2033295.73,671,71095.435,376.7008,409.0296,785.7304,3535,169776,21641,96028,42,90,23868.845,139.99993868,21.9990456,114.8719572,1.8083044,18.0893692,118.0704,,,,,211330.55097
257154.898839919,6289810.39934765,Las Cruces,Ciudad,16989.94175210000,4151702.22569999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258874.442609638,6286002.70933554,Cartagena,Ciudad,25981.42491160000,6973551.94223999977,Cartagena,16875,Gran San Antonio,106255,2697,2622,75,2023,425,,6750,260.9145,30906.5625,616.707,429,347,1092,1446847.83,1625,165857.1512,801.5625,735.75,1537.3125,7891,296660,28931,56172,117,221,42511.5,335.99998125,92.9998125,275.8708125,8.2485,68.7369375,268.3125,42093,12530,545,,76651.91895
129639.178790574,5324270.72595125,Quemchi,Pueblo,8272.41420277000,896958.38336400001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167015.160184778,5417626.49726385,Puerto Varas,Ciudad,13578.82469270000,3338445.68123000022,Puerto Varas,32912,Gran Puerto Montt,175140,5783,5613,170,5027,389,,,620.8815888,28646.6048,743.97576,406,278,2809,12152754.5,10918,1174684.4419,1464.584,2642.8336,4107.4176,17517,471805,47152,608217,196,746,108291.67008,254.99987216,151.000256,139.4218144,10.3606976,124.3481184,1398.76,25435,11129,232,,101482.74583
159804.309332458,5439583.46029802,Frutillar,Pueblo,18960.02960310000,3031965.92095000017,Frutillar,15525,Frutillar,9118,1634,1597,37,1340,122,,304290,368.6256,11218.365,397.424475,155,76,1010,2784096.22,3154,289469.3156,490.59,569.7675,1060.3575,20834,173412,20797,25000,114,259,42894.17775,72.99994725,81.9983925,39.09195,,74.367855,995.1525,15865,5062,522,63,27194.2268
129054.937063343,5434907.5602216,Fresia,Ciudad,10336.09518570000,1902824.85746000009,Fresia,12804,Fresia,6144,953,928,25,771,51,,5121.6,421.29628596,6820.6908,237.9969108,136,60,653,862074.65,955,96634.1485,222.7896,293.2116,516.0012,7037,103886,13967,,104,110,33812.163,59.99992812,75.998142,30.7052724,6.9320856,64.3797924,777.2028,17567,4628,64,466,17578.87297
174267.717491006,5580463.54815995,Los Lagos,Ciudad,11585.28957340000,2301392.40339000011,Los Lagos,20168,Los Lagos,9479,1475,1430,45,1186,142,,50420,631.2826016,13514.5768,308.55547568,295,118,808,1514427.47,2110,174202.7739,431.5952,520.3344,951.9296,9604,139362,14991,268821,131,310,50921.37648,186.99991448,107.99964,82.2471208,3.8702392,99.6642056,601.0064,32702,11005,468,763,23687.71781
138175.223388144,5583003.20426401,Valdivia,Ciudad,39647.65947110000,30136348.16950000077,Valdivia,140559,Valdivia,127750,17321,16826,495,14377,1663,51561.6,1405590,1276.27572,80919.8163,4492.4905344,2853,2002,7653,40254151.39,44553,5388092.4539,6592.2171,18075.8874,24668.1045,65656,1343595,168445,2252534,933,2272,517774.37712,2062.00053,790.9957725,1264.0330311,74.8476675,656.4948654,6395.4345,199906,68837,5542,9171,341665.58658
212279.664963905,5348064.05026236,Rio Negro,Ciudad,7448.71577626000,777549.01644499996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195766.13759091,5489899.38174022,Entre Lagos,Pueblo,7664.60623821000,1054465.96950999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150109.630018777,5462902.93435848,Purranque,Ciudad,11649.31795500000,3924530.74128999980,Purranque,20705,Purranque,11618,1943,1896,47,1638,121,,,418.28241,10174.437,424.55664615,157,127,1065,3182217.12,17629,365104.5949,672.9125,629.432,1302.3445,3633,141218,14302,152559,168,288,69320.7541,79.99977195,76.997754,27.608047,4.92779,70.9912335,1544.593,30259,8752,640,852,36864.4691
149891.580328984,5499870.73216382,Osorno,Ciudad,43305.10997780000,27418520.00219999999,Osorno,145475,Osorno,132245,,,,,,34108.72,1352917.5,1989.57429,69391.575,5250.2654875,1935,1469,8774,62537642.55,46974,4889221.8787,7637.4375,11710.7375,19348.175,71938,1689662,223391,2929394,1057,2551,426903.66125,1332.999063,601.9900975,759.408595,74.01768,467.178415,12074.425,226030,83257,3922,3023,398570.96102
153545.374519289,5531073.35784281,La Union,Ciudad,14871.68012340000,5783155.06243999954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211356.231492188,5552683.44327615,Futrono,Pueblo,9699.11427106000,2019911.24891999993,Futrono,14981,Futrono,6603,1208,1160,48,956,102,,19475.3,423.48949964,8936.1665,243.77143124,189,75,576,1041943.37,1400,167829.7843,289.1333,402.9889,692.1222,7012,104559,12361,294177,88,201,49292.73335,109.99994003,78.9993073,43.6156834,2.9078121,71.7245337,1712.3283,16371,6720,183,,14279.20947
164272.492350876,5527466.71600148,Rio Bueno,Ciudad,9963.63682619000,2990096.38688000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159343.550301211,5616008.12222702,San Jose de La Mariquina,Ciudad,7111.04073574000,1705614.74756000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161050.45801019,5602339.08057921,Mafil,Pueblo,7404.59260123000,1565737.09061000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198485.181012442,5617111.04723159,Malalhue,Pueblo,4522.77886225000,1252962.87858000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123984.244161428,5577581.95216164,Niebla,Pueblo,7218.44008849000,945267.63644100004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98991.2945777816,5494813.51602634,Muicolpue,Pueblo,7437.26117795000,693142.26322700002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100343.187067797,5353284.9617954,Ancud,Ciudad,14740.32640550000,5755670.88870000001,Ancud,39946,Ancud,27292,4533,4447,86,3637,497,,119838,589.922528,18115.511,309.7093272,458,356,2708,8970717.72,10416,837877.1162,978.677,1813.5484,2792.2254,17317,240368,67360,470216,243,590,109687.7214,260.99957426,197.0016882,117.6849106,10.6975388,174.0926572,2588.5008,46524,11988,741,2466,87265.97534
170002.090990815,5401943.53147785,Puerto Montt,Ciudad,33644.09325500000,22152181.30059999973,Puerto Montt,175938,Gran Puerto Montt,175140,24672,24052,620,19733,2704,73766.26,52781.4,3049.60724796,100319.8476,2982.500976,2616,2802,11715,114668284.87,93313,9990903.8772,10169.2164,12737.9112,22907.1276,102617,1846950,144457,2613231,1089,3695,629847.48372,1692.9985926,923.0059356,1003.5679458,93.9157044,694.1985666,8005.179,305406,113048,3977,10098,521357.54058
107428.956083809,5286272.52167056,Castro,Ciudad,18602.17904050000,5761010.90354000032,Castro,39366,Castro,29148,5241,5154,87,4129,555,,,852.844707,26528.7474,480.6942894,543,367,2591,9860524.87,11504,751173.4601,1417.176,2554.8534,3972.0294,12011,301044,52617,826028,275,776,141550.2945,378.99970794,163.998756,210.4663824,8.2353672,136.3480776,2905.2108,55930,17063,1609,2866,75008.9555
