Comuna,Pob_Comun_2002,Conurbacion,Pob_Conurb_2002,vehicle,motor vehicle,Non-motorized vehicle,private transport,public transport,CO2(movil transport sources),Green spaces ,Iliteracy,Municipal spending(M$/hab),Unemployment,Crime reports,Arrested person,Companies,Sales,workers,Income(workers),Professional technicians,University Professional,Professionals,Solid Waste,Municipal spending for Power Consumption,Municipal spending for Water Consumption,"Municipal Spending cleaning services, garbage collection, landfill",Deaths,Birthrate,Year of scholarship,Offence Against Property,Offence Against the Person,Burglary,Robbery,Injuries,Indigenous,Emergency attendence,Respiratory Diseases,Cardiovascular Diseases,Hospitalizations,Street length
Tocopilla,23986,Tocopilla,23352,2588,2495,93,1929,392,,14391.6,124.343424,21656.9594,877.86457344,379,106,1266,13097142.72,3786,723612.2257,1295.244,1237.6776,2532.9216,9300,,,,162,436,87155.5296,202.00001788,176.9974912,128.3658762,18.0518636,150.4305976,208.6782,49454,13342,1242,1522,56486.90334
Traiguén,19534,Traiguén,14140,2276,2183,93,1871,140,,41021.4,766.96070724,11982.1556,924.7043988,331,171,1013,1508372.91,2289,235123.2683,398.4936,974.7466,1373.2402,17097,235108,22302,86215,187,249,46945.47618,169.99990918,160.999228,72.099994,18.0220684,134.1829528,1623.2754,30611,10385,979,1842,43704.99335
Valdivia,140559,Valdivia,127750,17321,16826,495,14377,1663,51561.6,1405590,1276.27572,80919.8163,4492.4905344,2853,2002,7653,40254151.39,44553,5388092.4539,6592.2171,18075.8874,24668.1045,65656,1343595,168445,2252534,933,2272,517774.37712,2062.00053,790.9957725,1264.0330311,74.8476675,656.4948654,6395.4345,199906,68837,5542,9171,341665.58658
Vallenar,48040,Vallenar,43750,6204,6092,112,4748,912,,38432,785.6010024,25595.712,1016.853072,779,285,2746,16259430.54,9998,1064238.6308,1460.416,2622.984,4083.4,27093,362800,62279,166883,300,881,154404.4032,509.999846,268.99998,303.045928,27.637412,224.072972,1268.256,76433,22954,1894,3564,238744.93667
Victoria,33501,Victoria,23977,4197,3994,203,3394,237,,36851.1,987.140466,21316.6863,1645.23411,667,159,1883,3752729.09,4646,484105.8126,877.7262,2107.2129,2984.9391,11706,310841,27463,290640,198,438,96396.44742,433.99975983,232.999455,209.5889562,6.9213066,221.4516603,2358.4704,66721,23169,2202,3442,79513.25991
Vicuña,24010,Vicuña,12910,2453,2399,54,2003,280,,31213,359.612176,14129.885,253.363124,154,29,1212,6526644.01,9586,632981.9263,823.543,725.102,1548.645,5433,253825,33501,147634,135,409,66443.1131,98.9997127,54.997306,56.819665,7.704809,42.375249,180.075,27879,7934,389,991,49196.43912
Villa Alegre,14725,Villa Alegre,5456,1526,1493,33,1317,59,,22087.5,339.8750875,7640.8025,440.82306125,252,39,909,1786894.64,5081,320366.957,368.125,388.74,756.865,6958,175604,17893,154345,105,179,41725.0545,173.00004925,78.999625,77.1516375,6.923695,69.23695,95.7125,,,,,25478.20023
Villarrica,45531,Villarrica ,27408,6454,6260,194,5664,364,,50084.1,905.338404,25119.4527,798.20669286,1209,233,2862,4802937.87,6863,581942.6679,1411.461,2709.0945,4120.5555,13767,511089,36118,295983,269,778,135652.32954,765.99942939,442.9984176,434.2564656,57.0913209,339.7295565,4808.0736,44136,11398,925,2604,121520.05211
Yumbel,20498,Yumbel,8302,1965,1907,58,1644,138,,22547.8,568.419789,17162.9754,519.95452278,262,136,688,1198088.48,1625,181922.3145,563.695,592.3922,1156.0872,6095,237244,30786,341241,173,217,59317.1124,149.99985444,111.9969724,70.461875,3.9704626,102.2194264,200.8804,30781,9580,731,11428,33905.94248
Yungay,16814,Yungay,9288,2416,2346,70,1960,145,,,347.7942272,15806.8414,608.09646912,258,114,792,3752229.96,2625,310741.3241,507.7828,583.4458,1091.2286,5475,172607,18829,81731,130,208,53962.17904,148.00002266,110.0005508,45.6483286,5.826051,95.1806912,201.768,18484,5497,723,848,28081.01509
