Comuna,Pob_Comun_2002,Conurbacion,Pob_Conurb_2002,vehicle,motor vehicle,Non-motorized vehicle,private transport,public transport,CO2(movil transport sources),Green spaces ,Iliteracy,Municipal spending(M$/hab),Unemployment,Crime reports,Arrested person,Companies,Sales,workers,Income(workers),Professional technicians,University Professional,Professionals,Solid Waste,Municipal spending for Power Consumption,Municipal spending for Water Consumption,"Municipal Spending cleaning services, garbage collection, landfill",Deaths,Birthrate,Year of scholarship,Offence Against Property,Offence Against the Person,Burglary,Robbery,Injuries,Indigenous,Emergency attendence,Respiratory Diseases,Cardiovascular Diseases,Hospitalizations,Street length
Osorno,145475,Osorno,132245,,,,,,34108.72,1352917.5,1989.57429,69391.575,5250.2654875,1935,1469,8774,62537642.55,46974,4889221.8787,7637.4375,11710.7375,19348.175,71938,1689662,223391,2929394,1057,2551,426903.66125,1332.999063,601.9900975,759.408595,74.01768,467.178415,12074.425,226030,83257,3922,3023,398570.96102
Ovalle,98089,Ovalle,66405,11683,11544,139,9331,1354,26374.22,107897.9,1555.9367625,46494.186,2385.7697025,1397,364,5987,12318190.52,21982,1557003.8197,3933.3689,4198.2092,8131.5781,23288,825184,154713,1505683,612,1713,417129.35784,908.0000641,488.9932828,559.1073,98.6088717,306.3515648,667.0052,131026,146,3601,3699,202096.74133
Paillaco,19237,Paillaco,9973,1459,1405,54,1171,131,,113498.3,457.07112,12900.3322,323.123889,203,172,1021,2032173.33,1916,212206.1255,507.8568,523.2464,1031.1032,5868,156656,25441,294319,146,274,58465.0904,128.99985934,74.0008916,62.6779934,1.9564029,57.7821769,744.4719,37353,12714,621,1133,27051.31592
Paine,50028,Paine,19620,6016,5749,267,4718,434,,30016.8,755.47182744,27935.6352,699.1513056,617,219,2965,11554921.9,15656,1211588.2094,2296.2852,2101.176,4397.4612,16519,319018,47383,634053,255,978,156950.343,416.99988924,199.9969356,244.6019004,26.0345712,146.9472444,880.4928,36040,10907,407,,72648.62749
Panguipulli,33273,Panguipulli,11142,2534,2415,119,2030,154,,,759.62259,20745.7155,911.547108,437,167,1482,3759614.76,3038,357303.7184,618.8778,968.2443,1587.1221,9798,164218,42601,490989,254,418,94089.72213,249.00015915,187.9957773,144.1319814,10.713906,171.4025322,3713.2668,52090,20032,893,1716,34483.59943
Parral,37822,Parral,26397,5218,5039,179,4386,229,,3316989.4,858.6558461,17598.5766,703.602666,597,118,3331,4813441.09,6567,482905.1811,1369.1564,1323.77,2692.9264,11366,336068,19009,477209,302,563,107338.836,344.00016728,252.9951402,125.1416514,27.591149,211.859933,298.7938,71762,20072,1323,2719,97837.89652
Peumo,13948,Peumo,7392,1588,1520,68,1087,170,,,,8483.1736,96.85295928,166,52,783,1721515.25,4700,259431.9352,481.206,359.8584,841.0644,3710,71989,21392,199570,100,190,54210.71524,113.00000096,52.9996104,31.7833076,2.8886308,46.2292512,184.1136,31618,6991,363,898,15960.78063
Pichilemu,12392,Pichilemu,9027,2514,2424,90,2096,75,,23544.8,387.71816976,11185.0192,341.226112,249,103,939,1252880.76,1466,144670.8665,428.7632,462.2216,890.9848,3612,353121,50563,402851,75,151,38625.36832,172.99987912,75.9988968,105.2725184,3.791952,67.3368888,131.3552,29992,6403,936,667,92769.16166
Freire,25514,Pitrufquén,18808,1247,1214,33,1028,78,,45925.2,838.5762922,12037.5052,675.7459442,262,36,1012,2203255.46,2973,257428.0752,380.1586,673.5696,1053.7282,20232,123107,13964,169921,180,351,82242.84816,136.9999744,125.0007402,83.1679858,3.8679224,114.111365,3630.6422,,,,,24368.0195
Pitrufquén,21988,Pitrufquén,18808,2190,2007,183,1511,129,,50572.4,387.175698,11253.4584,975.904398,373,36,1200,2948051.06,2139,235266.6147,635.4532,1246.7196,1882.1728,21569,172046,32863,285931,212,315,75936.87728,235.0000482,138.0010856,108.7724372,5.82682,125.2832264,2143.83,29858,11681,314,951,47064.76408
