Conurbacion,Pob_Conurb_2002,vehicle,motor vehicle,Non-motorized vehicle,private transport,public transport,CO2(movil transport sources),Green spaces ,Iliteracy,Municipal spending(M$/hab),Unemployment,Crime reports,Arrested person,Companies,Sales,workers,Income(workers),Professional technicians,University Professional,Professionals,Solid Waste,Municipal spending for Power Consumption,Municipal spending for Water Consumption,Municipal Spending cleaning services garbage collection landfill,Deaths,Birthrate,Year of scholarship,Offence Against Property,Offence Against the Person,Burglary,Robbery,Injuries,Indigenous,Emergency attendence,Respiratory Diseases,Cardiovascular Diseases,Hospitalizations,Street length
Chimbarongo,13795,3059,2933,126,2406,169,,,1139.540688,12716.346,736.7207784,347,137,2315,3387342.29,10336,453999.1088,698.0256,717.4152,1415.4408,8389,212520,19601,274857,189,432,97557.80292,203.9995974,142.9983,122.865432,10.6384272,125.7674088,248.8332,32941,6994,349,224,29413.67732
Codegua,5113,2989,2934,55,1566,1296,,,,9828.6784,258.1690664,256,51,487,1805162.43,3613,154854.6627,296.89,264.502,561.392,2596,77725,10406,35324,65,159,31032.88608,168.9999362,86.999566,115.2462204,7.6187372,74.2894352,186.7708,15738,6642,525,,14807.53364
Coelemu,9845,2130,2030,100,1600,193,,,466.313672,9046.125,328.539178,177,126,973,1851512.7,2407,221230.0477,368.2778,498.542,866.8198,4642,115612,24663,288616,123,197,49672.15176,80.99988776,95.9998908,34.9831746,,94.9513444,210.6742,26515,8300,28,927,22518.40897
Coihaique,44850,8858,8750,108,7318,717,17711.63,100082,1048.126259,30454.9526,411.83743,814,217,3373,10715704,14159,1289161.868,2462.0172,3622.9684,6084.9856,24329,,,,,,185287.8115,450.9995166,362.997414,222.3771999,19.0005677,322.163958,4143.3948,62103,17879,947,2943,117778.1096
Coihueco,7230,2241,2163,78,1885,77,,14149.8,1061.196796,10720.8318,520.4013444,183,52,1191,1607536.2,4056,232941.8493,398.5527,429.2106,827.7633,5304,184453,13897,205986,141,371,59833.60845,95.99978976,87.0000453,29.2523532,4.8746061,78.012564,282.996,,,,,18172.12086
Collipulli,14240,2860,2729,131,2164,150,,11177,630.0477135,12484.709,492.738045,236,168,938,1329614.31,3893,219246.3864,315.1914,684.0324,999.2238,7670,263122,19023,290894,162,378,52661.10612,109.9997867,125.998321,72.2615404,14.8475268,104.9274406,1479.8348,45165,16000,862,769,41415.5201
Combarbalá,5494,1063,1049,14,862,85,,2696.6,349.5466402,11236.7322,83.6781946,112,15,552,529519.65,2024,96397.2559,246.7389,339.7716,586.5105,2586,192559,54989,,99,164,35936.50956,62.99985682,48.9999186,40.3290013,5.0412937,42.3447098,66.0667,3576,725,133,378,18299.61423
Constitución,33914,5475,5056,419,4068,350,,27648.6,851.57688,27353.6816,1377.851392,762,117,2548,16358364.12,12585,1087330.16,1792.5509,1820.1995,3612.7504,15931,378592,70004,593413,239,706,116995.0509,456.9995621,304.9963147,281.7161935,31.3028233,241.8745609,608.2692,70949,20738,862,2381,71545.44991
Copiapó,134561,21296,20720,576,17139,2189,65143.32,277535.1,1867.617727,66834.8706,3156.034432,4156,988,7120,82215089.46,56493,6072777.583,6984.6055,12855.6895,19840.295,48073,1458695,496179,2946949,837,3096,541978.5567,2990.999569,1164.981014,1940.49001,263.1650688,759.855557,4019.2101,131690,35064,3179,5938,380189.5211
Cunco,7316,1849,1792,57,1524,125,,50498.1,467.3711373,8934.4231,361.8357192,112,23,747,2692040.18,1061,127162.8675,314.2104,555.4791,869.6895,11453,121840,17142,186110,139,192,58757.3448,54.99972507,56.9973925,29.4852795,1.963815,52.0953362,1191.3811,,,,,32178.09227
Curacautín,12412,1731,1703,28,1448,65,,16970,484.9849512,11963.85,554.878272,210,56,1164,994459.97,1086,124382.0527,356.37,614.314,970.684,5403,183882,12098,86451,116,189,53099.13,105.0000083,105.000178,56.267429,6.029441,99.473049,672.012,23787,7191,304,597,59036.91664
Curacaví,15645,5414,5226,188,4370,266,,21868.2,512.104648,16233.4938,445.9965934,303,196,1442,2527588.06,4016,347488.5535,1263.496,1115.2782,2378.7742,5760,172953,39617,319216,155,386,79490.907,165.9998053,136.9994134,104.858019,11.3325872,114.3050814,415.4958,43997,11733,1995,442,52647.85094
Curanilahue,30126,2418,2295,123,1699,318,,19165.8,923.983218,25327.6047,1334.642426,464,341,1262,4347825.16,5543,579902.6844,817.7408,1108.4221,1926.1629,11956,276377,15660,277041,192,528,87014.64858,272.9998912,190.9999742,87.2874418,16.8595154,170.6107573,1661.036,66679,16655,1207,4210,73356.99299
Curicó,104124,22277,21191,1086,18289,1527,31890.48,538132.5,2656.006767,69825.6815,3639.712977,4391,748,10144,43365303.66,70362,4343239.066,5907.499,7677.357,13584.856,52475,1395328,219523,2525570,876,2404,305258.6503,3400.998596,732.003702,1890.00505,110.5563325,523.256126,1363.269,234321,83420,5578,5914,404057.3837
Diego de Almagro,7951,1675,1597,78,1242,211,,39036.9,114.043515,10348.4963,669.055288,253,86,672,2456214.29,2777,432104.2008,992.6526,1455.5187,2448.1713,2880,121241,75732,780,57,267,61366.0068,150.9997482,101.9997019,88.9576595,7.4132932,96.3690938,526.0687,,,,,61833.57361
Doñihue,7402,3216,2976,240,2448,166,,35523.6,,9606.5964,514.03495,225,56,861,4652810.77,5733,680885.2058,681.7148,531.1624,1212.8772,4901,174266,32735,236304,102,266,57043.45856,147.00004,77.999676,69.2490292,5.6905424,65.4530788,184.3844,20743,5306,506,,26618.86783
El Monte,22284,3979,3681,298,2765,343,,42334.4,407.0611314,20368.1382,959.5012383,519,129,1111,5633676.37,4310,442041.009,963.1076,1034.5469,1997.6545,12621,170150,23423,69431,185,539,95766.76296,379.99966,138.9997106,253.344925,22.7706154,102.475707,470.9702,27788,10929,657,,23336.81834
El Quisco,18581,28772,28624,148,27989,492,,32226.5,233.6318909,67138.3896,507.3305677,937,428,1858,4397521.38,3043,333020.8176,1363.6525,1516.1355,2879.788,12372,825869,77114,249348,181,350,91806.38358,761.9998245,174.9991733,579.2142006,17.16896,134.9987557,622.7915,88407,23783,777,,627333.3386
Fresia,6144,953,928,25,771,51,,5121.6,421.296286,6820.6908,237.9969108,136,60,653,862074.65,955,96634.1485,222.7896,293.2116,516.0012,7037,103886,13967,,104,110,33812.163,59.99992812,75.998142,30.7052724,6.9320856,64.3797924,777.2028,17567,4628,64,466,17578.87297
Frutillar,9118,1634,1597,37,1340,122,,304290,368.6256,11218.365,397.424475,155,76,1010,2784096.22,3154,289469.3156,490.59,569.7675,1060.3575,20834,173412,20797,25000,114,259,42894.17775,72.99994725,81.9983925,39.09195,,74.367855,995.1525,15865,5062,522,63,27194.2268
Futrono,6603,1208,1160,48,956,102,,19475.3,423.4894996,8936.1665,243.7714312,189,75,576,1041943.37,1400,167829.7843,289.1333,402.9889,692.1222,7012,104559,12361,294177,88,201,49292.73335,109.99994,78.9993073,43.6156834,2.9078121,71.7245337,1712.3283,16371,6720,183,,14279.20947
Gorbea,7852,1332,1281,51,1120,48,,74587.8,346.4892528,9626.3928,641.0051177,292,59,846,1417428.07,3121,156162.5927,375.9834,506.8926,882.876,13695,115502,12822,138952,129,172,41287.3917,163.9998491,127.9987536,78.8301714,25.6201482,98.5365726,907.2312,,,,,40872.80403
Gran Chillán,165528,26600,26029,571,22375,2072,66921.26,259123.7,3586.009346,77741.5466,5607.358353,3933,1685,10693,38381159.08,47154,4251543.822,8981.0078,17331.8906,26312.8984,61494,1626854,259055,2194861,1244,2914,595019.05,3131.000601,801.9750504,1915.480554,143.3964298,583.5168406,1916.1921,252108,84018,5943,11018,513845.3369
Gran Concepción,848023,108208,105398,2810,93565,6777,583047.96,2411412.2,9503.887059,510781.4215,30381.90272,15679,9810,40624,289731935.7,260858,32131246.41,49330.0243,85350.1059,134680.1302,311682,7402811,925568,14858814,4967,13331,3029778.681,8593.756934,5746.329557,5673.926295,1460.536092,3607.033897,18779.4871,1306694,446161,24084,24637,2227933.697
Gran Iquique,214586,,,,,,93258.19,182824.4,394.2026472,125733.326,6570.04412,5120,2657,13945,115414057.4,65055,5782660.63,10038.7216,17684.1056,27722.8272,165397,2156775,697799,4841288,1222,5416,759319.5944,2722.464733,1209.54961,1827.41298,232.7853224,996.825914,9772.7952,387278,112164,6340,11623,504093.8445
Gran La Serena,296253,41711,41372,339,35605,4657,146457.36,1001292.8,2976.499199,245134.1484,8909.973605,9035,1849,16678,65440850.65,84726,8526065.658,21590.3968,31408.9676,52999.3644,136833,4855338,471932,5237762,2061,6712,1347711.936,6597.998583,2436.97485,4600.099186,656.4822824,1375.641114,3392.8544,399614,115473,5840,17085,989868.6973
Gran Puerto Montt,175140,30455,29665,790,24760,3093,73766.26,52781.4,3670.488837,128966.4524,3726.476736,3022,3080,14524,126821039.4,104231,11165588.32,11633.8004,15380.7448,27014.5452,120134,2318755,191609,3221448,1285,4441,738139.1538,1947.998465,1074.006192,1142.98976,104.276402,818.546685,9403.939,330841,124177,4209,10098,622840.2864
