Conurbacion,Pob_Conurb_2002,vehicle,motor vehicle,Non-motorized vehicle,private transport,public transport,CO2(movil transport sources),Green spaces ,Iliteracy,Municipal spending(M$/hab),Unemployment,Crime reports,Arrested person,Companies,Sales,workers,Income(workers),Professional technicians,University Professional,Professionals,Solid Waste,Municipal spending for Power Consumption,Municipal spending for Water Consumption,Municipal Spending cleaning services garbage collection landfill,Deaths,Birthrate,Year of scholarship,Offence Against Property,Offence Against the Person,Burglary,Robbery,Injuries,Indigenous,Emergency attendence,Respiratory Diseases,Cardiovascular Diseases,Hospitalizations,Street length
Monte Patria,5219,2101,2088,13,1739,200,,60552,874.6554744,18674.2368,314.4828672,201,31,1769,3934934.43,16565,663553.4002,466.2504,517.7196,983.97,7143,280797,65816,,154,427,93615.20856,101.0001305,99.9986004,66.9160152,4.8471876,90.1891764,151.38,7304,1780,251,,
Mulchén,21819,3023,2840,183,2264,185,,130513.5,938.6762944,15884.9431,902.57336,344,170,1276,1971409.65,2767,268866.7319,638.066,838.1867,1476.2527,16414,216124,15622,380814,188,417,90396.5504,169.9996344,174.0005982,88.1517182,14.8553366,153.5273805,510.4528,21268,17488,359,2295,50802.17055
Nancagua,6846,3969,3870,99,3386,164,,,560.2240658,10429.4414,282.8315672,225,77,1003,1869888.36,7045,287901.2841,397.1036,403.3572,800.4608,4174,278734,18531,174732,100,234,49627.94424,133.9997957,90.997697,50.0162928,3.845964,81.758003,100.0576,29439,5558,290,,25578.57528
Nogales,8969,3073,3050,23,2380,381,,49755.9,362.028255,14647.7043,267.9009087,114,64,1147,1510348.52,4744,329872.0959,873.9732,607.8873,1481.8605,8577,209761,11445,194939,123,292,57041.02908,73.99978677,39.999417,35.9886588,1.8928875,35.9886588,166.5741,,,,,48202.82387
Nueva Imperial,14980,3399,3275,124,2605,240,,32993.4,1195.203911,15812.8368,463.25733,449,79,1142,1324734.84,1798,209106.0789,578.8842,1208.7582,1787.6424,5890,214357,26778,372935,239,480,93914.2134,172.2114508,163.9741986,87.9154134,5.0869824,145.3119318,7561.4874,29352,10825,420,1382,48538.02019
Osorno,132245,,,,,,34108.72,1352917.5,1989.57429,69391.575,5250.265488,1935,1469,8774,62537642.55,46974,4889221.879,7637.4375,11710.7375,19348.175,71938,1689662,223391,2929394,1057,2551,426903.6613,1332.999063,601.9900975,759.408595,74.01768,467.178415,12074.425,226030,83257,3922,3023,398570.961
Ovalle,66405,11683,11544,139,9331,1354,26374.22,107897.9,1555.936763,46494.186,2385.769703,1397,364,5987,12318190.52,21982,1557003.82,3933.3689,4198.2092,8131.5781,23288,825184,154713,1505683,612,1713,417129.3578,908.0000641,488.9932828,559.1073,98.6088717,306.3515648,667.0052,131026,146,3601,3699,202096.7413
Paillaco,9973,1459,1405,54,1171,131,,113498.3,457.07112,12900.3322,323.123889,203,172,1021,2032173.33,1916,212206.1255,507.8568,523.2464,1031.1032,5868,156656,25441,294319,146,274,58465.0904,128.9998593,74.0008916,62.6779934,1.9564029,57.7821769,744.4719,37353,12714,621,1133,27051.31592
Paine,19620,6016,5749,267,4718,434,,30016.8,755.4718274,27935.6352,699.1513056,617,219,2965,11554921.9,15656,1211588.209,2296.2852,2101.176,4397.4612,16519,319018,47383,634053,255,978,156950.343,416.9998892,199.9969356,244.6019004,26.0345712,146.9472444,880.4928,36040,10907,407,,72648.62749
Panguipulli,11142,2534,2415,119,2030,154,,,759.62259,20745.7155,911.547108,437,167,1482,3759614.76,3038,357303.7184,618.8778,968.2443,1587.1221,9798,164218,42601,490989,254,418,94089.72213,249.0001592,187.9957773,144.1319814,10.713906,171.4025322,3713.2668,52090,20032,893,1716,34483.59943
Parral,26397,5218,5039,179,4386,229,,3316989.4,858.6558461,17598.5766,703.602666,597,118,3331,4813441.09,6567,482905.1811,1369.1564,1323.77,2692.9264,11366,336068,19009,477209,302,563,107338.836,344.0001673,252.9951402,125.1416514,27.591149,211.859933,298.7938,71762,20072,1323,2719,97837.89652
Peumo,7392,1588,1520,68,1087,170,,,,8483.1736,96.85295928,166,52,783,1721515.25,4700,259431.9352,481.206,359.8584,841.0644,3710,71989,21392,199570,100,190,54210.71524,113.000001,52.9996104,31.7833076,2.8886308,46.2292512,184.1136,31618,6991,363,898,15960.78063
Pichilemu,9027,2514,2424,90,2096,75,,23544.8,387.7181698,11185.0192,341.226112,249,103,939,1252880.76,1466,144670.8665,428.7632,462.2216,890.9848,3612,353121,50563,402851,75,151,38625.36832,172.9998791,75.9988968,105.2725184,3.791952,67.3368888,131.3552,29992,6403,936,667,92769.16166
Pitrufquén,18808,3437,3221,216,2539,207,,96497.6,1225.75199,23290.9636,1651.650342,635,72,2212,5151306.52,5112,492694.6899,1015.6118,1920.2892,2935.901,41801,295153,46827,455852,392,666,158179.7254,372.0000226,263.0018258,191.940423,9.6947424,239.3945914,5774.4722,29858,11681,314,951,71432.78358
Pozo Almonte,6384,,,,,,,,104.04381,26742.519,236.099415,215,148,421,17955499.57,3036,764929.7574,288.078,371.469,659.547,9882,162290,82427,358011,40,220,28703.1822,125.9999022,88.998774,75.52842,3.554406,71.084871,1838.934,25176,6307,354,,17260.91846
Pucón,13750,2625,2588,37,2394,125,,135084.8,403.2534564,32766.5068,350.9798602,675,91,1505,3298107.55,5463,343841.0468,812.6195,1099.6747,1912.2942,10597,381070,38414,346147,97,334,63162.6975,513.9997747,160.9978639,270.1379395,20.7798415,121.0655306,2180.3531,,,,,49252.97571
Puerto Aisén,16936,2206,2206,,1830,268,,460471.8,615.3847959,19138.6386,459.242385,317,275,1347,6374851.08,7890,455392.6412,757.7667,1003.6497,1761.4164,11078,,,,,,78071.20545,139.9997449,176.9999952,53.0235513,3.7865982,160.0161858,1884.3579,39638,12243,472,557,51130.5468
Puerto Natales,16978,,,,,,,43966.8,224.51742,18936.3096,253.7046846,250,122,1376,2498504.71,3817,188637.4755,464.5188,1018.8828,1483.4016,8466,228541,14086,303970,137,262,52350.31296,145.0000213,104.9984532,52.33005,3.8767248,97.87392,1938.3624,35514,8189,731,19972,46155.80728
Punta Arenas,116005,28887,28333,554,24771,2374,33488.13,477984,555.8834424,64515.8904,2572.224293,1825,928,7810,37377777.25,44471,3403258.457,6882.9696,12248.34,19131.3096,50735,922833,26213,2130421,796,1732,520878.2842,1174.000402,650.9903088,690.3403416,52.7933328,565.1802312,6918.8184,165333,58893,3169,,355917.6996
Purén,7604,989,970,19,796,54,,24449.2,449.7345411,6437.8604,206.8278787,249,36,507,1131654.09,828,108814.4249,169.8576,396.3344,566.192,6331,134995,16261,123636,89,170,41651.1424,123.0000648,125.9983088,52.2029024,6.0235108,116.4528264,696.1588,17168,6332,252,380,25142.86285
Purranque,11618,1943,1896,47,1638,121,,,418.28241,10174.437,424.5566462,157,127,1065,3182217.12,17629,365104.5949,672.9125,629.432,1302.3445,3633,141218,14302,152559,168,288,69320.7541,79.99977195,76.997754,27.608047,4.92779,70.9912335,1544.593,30259,8752,640,852,36864.4691
Putaendo,7214,1809,1786,23,1561,133,,21973.5,372.0377232,10720.1382,230.7639391,263,32,871,958404.2,1910,127284.278,459.9786,524.4342,984.4128,5664,145411,11393,50704,126,206,53584.5771,141.999935,120.9992751,77.5942881,3.8321784,89.0878935,95.2185,,,,,13555.26696
Quellón,13656,1543,1527,16,1206,188,,17458.4,483.0826572,10296.0914,278.701533,254,258,1083,3719049.52,3883,274535.1657,453.9184,554.3042,1008.2226,12300,118362,57640,41000,92,407,74754.46827,145.0000865,108.9993381,68.4412926,10.8067496,87.3509221,3197.0695,35623,9623,281,1894,25262.52466
Quillón,7285,,,,,,,19689.8,524.9911064,10473.459,382.1275216,196,117,831,909995.86,1096,123905.2587,290.8032,318.066,608.8692,7252,210839,27585,377727,118,184,41307.23142,123.9998476,71.9995402,69.1626944,1.976553,69.1626944,148.4308,,,,,29840.76218
Quinta de Tilcoco,5850,1642,1589,53,1202,150,,,,6295.416,268.80698,96,33,769,1353139.3,2114,128380.1498,282.224,220.772,502.996,2576,168138,13305,60350,69,141,38646.48,51.9999996,43.998494,25.262462,4.856984,36.921272,209.392,,,,,11380.38603
Quintero,18719,1843,1780,63,1409,265,,23291.4,316.9284089,15501.4854,560.7194927,706,183,1371,2757212.76,4291,392641.0763,1463.1234,1325.4924,2788.6158,8461,301777,49119,146903,153,388,59491.74084,548.9998955,157.0009752,385.3964436,24.6804144,117.7041486,298.5534,,,,,131510.3698
Quirihue,7952,986,943,43,719,64,,4571.6,383.5069524,8928.3348,213.059418,130,110,453,999217.16,1720,152410.4223,316.5833,340.5842,657.1675,2429,69030,32899,113171,94,114,36279.76044,72.99988025,56.9998517,38.3945826,2.9521107,51.1939197,91.432,21108,6678,776,1573,23700.43793
Renaico,5355,853,794,59,660,33,,,287.627844,5059.6504,279.1359743,110,26,390,405775.52,739,74292.3799,138.7456,277.4912,416.2368,5551,82744,20299,97403,59,129,23885.694,68.00004008,41.9997536,25.7154016,0.9885624,39.5625776,188.0368,,,,,19399.78766
Rengo,30891,5534,5376,158,4457,524,,55913,1285.630483,20326.917,1325.39225,920,240,2524,6487228.82,15405,868462.4198,2200.939,2007.785,4208.724,14754,483644,55172,472744,306,805,181089.4995,598.0002093,321.997884,287.885871,53.025856,244.329644,864.11,77949,12153,1497,274,111370.5131
Requínoa,8240,2884,2674,210,2141,174,,,692.486928,10883.2671,346.243464,209,36,1179,6550245.45,9670,681162.4447,768.9867,627.1563,1396.143,6192,,,,124,355,80903.1627,122.0000724,86.9974377,74.948502,8.5386333,71.1545388,511.9191,23041,6442,520,,49369.60853
Rinconada,5727,1197,1176,21,942,116,,4015.2,203.9389008,1677.6844,136.1273256,57,27,405,529869.04,2182,75232.1796,211.4672,262.3264,473.7936,2639,138308,45870,16558,40,156,16668.63436,45.0000194,11.9994252,19.9809736,,11.4178904,32.7908,,,,,19351.75294
Río Negro,6583,1092,1051,41,870,62,,19151.6,408.098498,6944.6648,186.7650773,133,73,757,1687711.3,3106,239868.3131,343.2556,444.9064,788.162,7586,91429,16968,30188,101,168,43901.36,52.99999052,79.9991796,26.2126476,6.0489592,71.5813148,1370.076,23355,7285,394,518,18910.22902
Salamanca,11615,2314,2253,61,1833,165,,36741,660.595097,15641.8684,725.928678,226,110,1595,2124192.26,3232,169240.0285,702.9778,698.079,1401.0568,16343,227082,29640,,154,392,85810.07514,116.9999999,108.9983,62.3592746,5.8467178,97.437132,340.4666,16823,5191,380,687,36938.55225
San Carlos,29359,5048,4842,206,3946,424,,75132,1526.952715,19013.4048,1328.284674,601,243,3519,16223492.26,8867,1060720.725,1217.1384,2183.8368,3400.9752,15415,366766,52063,567907,370,641,159207.7133,404.9995469,195.9993528,213.6553728,14.7659424,170.3292528,415.7304,117603,34960,2797,2072,71303.32725
San Felipe,53358,9764,9529,235,7793,944,18741.09,173140.2,874.197695,31004.921,946.6312183,1590,350,4619,13456384.06,32671,2259243.402,3488.4544,4617.072,8105.5264,25469,686938,200658,838527,396,1166,253748.5058,1049.999765,539.9986334,606.9333522,30.3444232,293.9728218,436.0568,110465,25479,1534,3251,167557.0828
San Fernando,49519,7603,7549,54,6503,551,17192.65,82851.6,1040.985742,,1536.693238,1168,670,4469,20333657.78,27183,1884558.754,2810.5812,4040.6088,6851.19,25000,,,,404,1097,206824.361,880.9999393,286.9915692,406.418964,37.4680428,229.6327692,656.4396,92327,13734,827,2585,154020.8348
San Francisco de Mostazal,12037,2559,2406,153,2112,75,,34985.6,735.4213646,14324.4166,354.4896241,257,114,893,8190751.8,10982,650048.5463,815.6018,660.3532,1475.955,6429,159252,39271,190085,117,321,68694.2256,164.9999614,91.9990084,112.7892012,9.5576286,75.5098578,275.5116,22195,7616,232,,40207.97605
San Javier,20524,5002,4874,128,4019,310,,22675.8,842.935072,18386.2945,1093.181422,819,174,2430,4567518.74,7577,559099.7905,1156.4658,1390.7824,2547.2482,18828,398561,18327,734811,265,614,111132.5841,605.999795,213.001348,247.8275975,14.5767601,189.5092192,230.5373,55114,25274,464,,75991.20544
San José de la Mariquina,7790,1399,1372,27,1164,70,,1822.3,382.5860536,10398.0438,445.1295764,394,95,764,1558507.94,2516,272484.9593,450.1081,435.5297,885.6378,8235,157893,9717,180532,145,322,67875.2081,223.9998495,169.9987224,94.048903,13.7146298,147.9288471,2520.2409,32233,10269,437,1578,20565.25323
San José de Maipo,5281,3792,3585,207,2727,322,,60192,150.7316026,15492.0832,399.7899136,192,78,654,883207.83,1296,152057.3113,869.44,1241.2928,2110.7328,5921,133847,24918,252698,93,195,52099.52,116.000016,75.9984192,81.4772288,5.81856,64.9886336,272.8704,22135,49070,3802,17138,27642.76307
San Vicente de Tagua Tagua,18914,6203,6039,164,4975,426,,52328.9,856.6361689,20078.1964,609.8087982,527,181,3232,4182031.53,9880,567563.605,1525.5887,1525.5887,3051.1774,11240,341302,50899,299355,271,591,147949.499,380.9998779,145.997631,152.7078061,9.5439863,126.9378355,523.289,61087,12708,1246,1583,52831.75291
Santa Bárbara,6838,1294,1236,58,962,68,,3882.9,613.4774912,6813.1952,358.1794048,191,126,657,684516.87,1079,104925.7345,230.3854,376.6413,607.0267,3664,83843,18142,104766,121,173,45652.03188,73.88576265,49.9043251,38.350109,0.6186754,46.3903006,539.7231,10041,8261,,,19625.98472
Santa Cruz,20691,6587,6369,218,5313,545,,97161,817.512654,17395.0577,934.300176,457,301,3550,7019433.44,13583,810938.8579,1233.9447,1376.4475,2610.3922,11670,385643,33994,520048,285,606,117224.7465,250.9995739,165.9963298,79.7076457,6.7235412,151.733095,459.8954,58909,13421,2872,2277,59153.58682
Santa Maria,6443,1682,1634,48,1362,74,,14094.3,251.7377798,6024.6726,247.4549064,232,26,762,1617938.64,4671,234330.2841,367.7331,397.203,764.9361,4843,165829,19704,2902,80,270,44892.13932,132.999965,98.9983632,67.1695899,0.9596937,71.0058021,180.6633,,,,,13828.23275
Talagante,49957,6680,6538,142,5528,748,,149512.5,759.6843755,23114.6325,1662.531156,1196,374,2889,8628992.72,16601,1328829.548,3588.3,4210.272,7798.572,30828,524114,95645,817957,318,979,211343.6934,712.0000548,483.9958845,412.905681,124.6156785,282.7161765,962.8605,112703,33940,3877,2963,148666.5254
Talca,210339,35117,34552,565,30493,2072,83857.35,782185.9,4710.196186,117083.4257,6145.981521,6613,1667,16573,49719830.36,72144,7392235.202,11992.5482,20109.1149,32101.6631,103970,2367496,431863,4714578,1641,4332,705677.7506,5012.998594,1549.986138,3107.723724,311.8601233,1007.734531,2243.1528,442723,154949,9226,11870,705096.5208
Taltal,9564,959,921,38,774,107,,,161.618997,15140.4,294.570357,240,77,631,1185221.39,901,113779.2561,307.47,395.16,702.63,3679,293252,81648,242910,61,175,50119.83,135.999864,104.00034,68.11515,9.87123,88.84662,101.01,27518,6372,387,109,22007.09197
Teno,6729,4425,3888,537,2945,125,,33274.8,1485.522987,12705.8544,481.9191844,255,29,1802,7139610.94,8198,537253.6465,504.2412,414.6552,918.8964,13052,276249,15223,199362,128,338,84836.40624,165.9997865,88.997292,93.9219624,2.9025864,78.4312632,102.384,26652,7066,351,285,15984.71413
Tiltil,5168,1838,1696,142,1494,60,,5902,250.3359859,11508.9,239.8835439,164,33,613,3466437.85,2361,294326.7613,571.0185,445.601,1016.6195,6672,277497,20037,,77,220,51362.00745,92.9998797,70.998109,60.4910735,3.8407265,58.568497,275.9185,24849,7684,235,111,32450.80376
Tocopilla,23352,2588,2495,93,1929,392,,14391.6,124.343424,21656.9594,877.8645734,379,106,1266,13097142.72,3786,723612.2257,1295.244,1237.6776,2532.9216,9300,,,,162,436,87155.5296,202.0000179,176.9974912,128.3658762,18.0518636,150.4305976,208.6782,49454,13342,1242,1522,56486.90334
Traiguén,14140,2276,2183,93,1871,140,,41021.4,766.9607072,11982.1556,924.7043988,331,171,1013,1508372.91,2289,235123.2683,398.4936,974.7466,1373.2402,17097,235108,22302,86215,187,249,46945.47618,169.9999092,160.999228,72.099994,18.0220684,134.1829528,1623.2754,30611,10385,979,1842,43704.99335
Valdivia,127750,17321,16826,495,14377,1663,51561.6,1405590,1276.27572,80919.8163,4492.490534,2853,2002,7653,40254151.39,44553,5388092.454,6592.2171,18075.8874,24668.1045,65656,1343595,168445,2252534,933,2272,517774.3771,2062.00053,790.9957725,1264.033031,74.8476675,656.4948654,6395.4345,199906,68837,5542,9171,341665.5866
Vallenar,43750,6204,6092,112,4748,912,,38432,785.6010024,25595.712,1016.853072,779,285,2746,16259430.54,9998,1064238.631,1460.416,2622.984,4083.4,27093,362800,62279,166883,300,881,154404.4032,509.999846,268.99998,303.045928,27.637412,224.072972,1268.256,76433,22954,1894,3564,238744.9367
Victoria,23977,4197,3994,203,3394,237,,36851.1,987.140466,21316.6863,1645.23411,667,159,1883,3752729.09,4646,484105.8126,877.7262,2107.2129,2984.9391,11706,310841,27463,290640,198,438,96396.44742,433.9997598,232.999455,209.5889562,6.9213066,221.4516603,2358.4704,66721,23169,2202,3442,79513.25991
Vicuña,12910,2453,2399,54,2003,280,,31213,359.612176,14129.885,253.363124,154,29,1212,6526644.01,9586,632981.9263,823.543,725.102,1548.645,5433,253825,33501,147634,135,409,66443.1131,98.9997127,54.997306,56.819665,7.704809,42.375249,180.075,27879,7934,389,991,49196.43912
Villa Alegre,5456,1526,1493,33,1317,59,,22087.5,339.8750875,7640.8025,440.8230613,252,39,909,1786894.64,5081,320366.957,368.125,388.74,756.865,6958,175604,17893,154345,105,179,41725.0545,173.0000493,78.999625,77.1516375,6.923695,69.23695,95.7125,,,,,25478.20023
Villarrica ,27408,6454,6260,194,5664,364,,50084.1,905.338404,25119.4527,798.2066929,1209,233,2862,4802937.87,6863,581942.6679,1411.461,2709.0945,4120.5555,13767,511089,36118,295983,269,778,135652.3295,765.9994294,442.9984176,434.2564656,57.0913209,339.7295565,4808.0736,44136,11398,925,2604,121520.0521
Yumbel,8302,1965,1907,58,1644,138,,22547.8,568.419789,17162.9754,519.9545228,262,136,688,1198088.48,1625,181922.3145,563.695,592.3922,1156.0872,6095,237244,30786,341241,173,217,59317.1124,149.9998544,111.9969724,70.461875,3.9704626,102.2194264,200.8804,30781,9580,731,11428,33905.94248
Yungay,9288,2416,2346,70,1960,145,,,347.7942272,15806.8414,608.0964691,258,114,792,3752229.96,2625,310741.3241,507.7828,583.4458,1091.2286,5475,172607,18829,81731,130,208,53962.17904,148.0000227,110.0005508,45.6483286,5.826051,95.1806912,201.768,18484,5497,723,848,28081.01509
